CantonEvento,HABITANTES,alta,autocorrelacion_res_july,autocorrelacion_res_april,autocorrelacion_con_july,autocorrelacion_con_april,severidad
24 DE MAYO,11468,40,0.4768964411,0.5321097163,0.8177764957,0.7527643823,3
BOLIVAR,40735,609,,0.7190348317,0.9539009508,0.291176917,2
CHONE,126491,5552,0.6645206866,0.8257614764,0.9627227428,0.5980567144,1
EL CARMEN,82329,860,0.7420581924,0.6781626366,0.9354078186,0.8651388388,2
FLAVIO ALFARO,25004,510,0.4857265015,0.8911336305,0.8760649291,0.8450771189,2
JAMA,23253,335,0.8493242198,0.7317402331,0.9576560244,0.3321452554,1
JARAMIJO,18486,18,0.5841709115,0.8397749564,0.8996351491,-0.0431425335,2
JUNIN,18942,230,1,0.8132052086,0.9163648336,-0.1791489983,2
MANTA,226477,438,-0.3332554611,0.822022541,0.9683007515,0.6775372866,2
MONTECRISTI,70294,60,-0.0808726475,0.7936923858,0.960768311,0.7087902067,2
OLMEDO,9844,1,1,0.443175815,0.8297076273,0.3043525617,3
PEDERNALES,52560,1116,0.4146235117,0.7679840768,0.9666431809,0.7550654183,1
PICHINCHA,30244,6,0.7816080696,0.6770287576,0.8674209597,0.7718045119,2
PORTOVIEJO,273913,1674,0.9070113211,0.7621214749,0.9449396614,0.350900765,2
PUERTO LOPEZ,20451,3,-0.1286841717,0.5527457409,0.9572809224,0.7587731766,4
ROCAFUERTE,33469,735,,0.4673793984,0.9334491657,0.2689359059,2
SAN VICENTE,22025,560,0.4263893447,0.7620628911,0.9670384559,0.6227785406,1
SANTA ANA,29721,24,0.7632187139,0.7789494288,0.8980794344,0.3733926753,2
SUCRE,70585,1586,0.4953214039,0.815352647,0.9306281579,0.6113931489,1
TOSAGUA,28174,443,1,0.7610397621,0.970194347,0.0153858411,1
