NOMBRE,CODIGO,CANTON,PROVINCIA,alta
CHIBUNGA,130354,CHONE,MANABI,694
ATAHUALPA,131753,PEDERNALES,MANABI,372
10 DE AGOSTO,131752,PEDERNALES,MANABI,372
JAMA,132050,JAMA,MANABI,335
SAN FRANCISCO DE NOVILLO,130551,FLAVIO ALFARO,MANABI,170
EL CARMEN,130450,EL CARMEN,MANABI,430
CONVENTO,130353,CHONE,MANABI,694
FLAVIO ALFARO,130550,FLAVIO ALFARO,MANABI,170
WILFRIDO LOOR MOREIRA,130451,EL CARMEN,MANABI,430
CANOA,132251,SAN VICENTE,MANABI,280
SAN ISIDRO,131457,SUCRE,MANABI,522
ELOY ALFARO,130355,CHONE,MANABI,694
ZAPALLO,130552,FLAVIO ALFARO,MANABI,170
CHONE,130350,CHONE,MANABI,694
BOYACA,130351,CHONE,MANABI,694
RICAURTE,130356,CHONE,MANABI,694
BARRAGANETE,131151,PICHINCHA,MANABI,2
CHARAPOTO,131453,SUCRE,MANABI,522
BACHILLERO,131551,TOSAGUA,MANABI,443
CANUTO,130352,CHONE,MANABI,694
PICHINCHA,131150,PICHINCHA,MANABI,2
CRUCITA,130153,PORTOVIEJO,MANABI,279
ANGEL PEDRO GILER,131552,TOSAGUA,MANABI,443
MEMBRILLO,130251,BOLIVAR,MANABI,203
CALCETA,130250,BOLIVAR,MANABI,203
ROCAFUERTE,131250,ROCAFUERTE,MANABI,735
JUNIN,130750,JUNIN,MANABI,230
QUIROGA,130252,BOLIVAR,MANABI,203
MANTA,130850,MANTA,MANABI,146
PORTOVIEJO,130150,PORTOVIEJO,MANABI,279
JARAMIJO,132150,JARAMIJO,MANABI,18
PUEBLO NUEVO,130154,PORTOVIEJO,MANABI,279
RIOCHICO (RIO CHICO),130155,PORTOVIEJO,MANABI,279
SANTA MARIANITA,130852,MANTA,MANABI,146
ABDON CALDERON,130151,PORTOVIEJO,MANABI,279
MONTECRISTI,130950,MONTECRISTI,MANABI,30
CHIRIJOS,130157,PORTOVIEJO,MANABI,279
SAN SEBASTIAN,131152,PICHINCHA,MANABI,2
SAN LORENZO,130851,MANTA,MANABI,146
SAN PLACIDO,130156,PORTOVIEJO,MANABI,279
ALHAJUELA (BAJO GRANDE),130152,PORTOVIEJO,MANABI,279
HONORATO VASQUEZ,131352,SANTA ANA,MANABI,12
LA PILA,130952,MONTECRISTI,MANABI,30
AYACUCHO,131351,SANTA ANA,MANABI,12
SAN PABLO,131355,SANTA ANA,MANABI,12
LA UNION,131353,SANTA ANA,MANABI,12
SANTA ANA DE VUELTA LARGA,131350,SANTA ANA,MANABI,12
JIPIJAPA,130650,JIPIJAPA,MANABI,28
MEMBRILLAL,130656,JIPIJAPA,MANABI,28
SUCRE,131650,24 DE MAYO,MANABI,20
OLMEDO,131850,OLMEDO,MANABI,1
BELLAVISTA,131651,24 DE MAYO,MANABI,20
JULCUY,130653,JIPIJAPA,MANABI,28
LA UNION,130654,JIPIJAPA,MANABI,28
NOBOA,131652,24 DE MAYO,MANABI,20
AMERICA,130651,JIPIJAPA,MANABI,28
ARQ. SIXTO DURAN BALLEN,131653,24 DE MAYO,MANABI,20
EL ANEGADO,130652,JIPIJAPA,MANABI,28
LASCANO,131054,PAJAN,MANABI,11
PAJAN,131050,PAJAN,MANABI,11
PUERTO LOPEZ,131950,PUERTO LOPEZ,MANABI,1
CAMPOZANO,131051,PAJAN,MANABI,11
PEDRO PABLO GOMEZ,130657,JIPIJAPA,MANABI,28
GUALE,131053,PAJAN,MANABI,11
CASCOL,131052,PAJAN,MANABI,11
BAHIA DE CARAQUEZ,131450,SUCRE,MANABI,522
PUERTO DE CAYO,130658,JIPIJAPA,MANABI,28
SALANGO,131952,OLMEDO,MANABI,1
SAN ANTONIO,130357,CHONE,MANABI,694
COJIMIES,131751,PEDERNALES,MANABI,372
TOSAGUA,131550,TOSAGUA,MANABI,443
SAN VICENTE,132250,SAN VICENTE,MANABI,280
PEDERNALES,131750,PEDERNALES,MANABI,372
MACHALILLA,131951,OLMEDO,MANABI,1
